lemma,original_form,reason,url
сайт,сайт,mid_sentence_cap,https://social.hse.ru
для,Для,mid_sentence_cap,https://social.hse.ru
мы,Мы,mid_sentence_cap,https://social.hse.ru
файл,файлы,mid_sentence_cap,https://social.hse.ru
ниу,НИУ,abbreviation_allcaps,https://social.hse.ru
вшэ,ВШЭ,abbreviation_allcaps,https://social.hse.ru
и,и,pymorphy3:Abbr,https://social.hse.ru
он,его,mid_sentence_cap,https://social.hse.ru
более,Более,mid_sentence_cap,https://social.hse.ru
можно,можно,mid_sentence_cap,https://social.hse.ru
найти,найти,mid_sentence_cap,https://social.hse.ru
здесь,здесь,mid_sentence_cap,https://social.hse.ru
наш,наши,mid_sentence_cap,https://social.hse.ru
данные,данных,mid_sentence_cap,https://social.hse.ru
ваш,Вашего,mid_sentence_cap,https://social.hse.ru
аба,АБ,abbreviation_allcaps,https://social.hse.ru
а,А,"pymorphy3:Abbr,Name",https://social.hse.ru
русый,РУС,abbreviation_allcaps,https://social.hse.ru
хороший,Лучшие,mid_sentence_cap,https://social.hse.ru
базовый,Базовые,mid_sentence_cap,https://social.hse.ru
всероссийский,Всероссийского,mid_sentence_cap,https://social.hse.ru
изучение,изучения,mid_sentence_cap,https://social.hse.ru
вциома,ВЦИОМ,abbreviation_allcaps,https://social.hse.ru
экопси,ЭКОПСИ,abbreviation_allcaps,https://social.hse.ru
учёный,Ученый,mid_sentence_cap,https://social.hse.ru
зимний,Зимняя,mid_sentence_cap,https://social.hse.ru
фсн,ФСН,abbreviation_allcaps,https://social.hse.ru
ранний,Раннее,mid_sentence_cap,https://social.hse.ru
высокий,Высшая,mid_sentence_cap,https://social.hse.ru
твой,Твой,mid_sentence_cap,https://social.hse.ru
прикладной,Прикладная,mid_sentence_cap,https://social.hse.ru
обществознание,обществознания,mid_sentence_cap,https://social.hse.ru
персонология,Персонология,mid_sentence_cap,https://social.hse.ru
семейный,семейная,mid_sentence_cap,https://social.hse.ru
психоаналитический,психоаналитическая,mid_sentence_cap,https://social.hse.ru
аспирантский,Аспирантская,mid_sentence_cap,https://social.hse.ru
маркетинговый,маркетинговых,mid_sentence_cap,https://social.hse.ru
нейронаука,нейронаук,mid_sentence_cap,https://social.hse.ru
гражданский,гражданского,mid_sentence_cap,https://social.hse.ru
некоммерческий,некоммерческого,mid_sentence_cap,https://social.hse.ru
стабильность,стабильности,mid_sentence_cap,https://social.hse.ru
социокультурный,социокультурных,mid_sentence_cap,https://social.hse.ru
сетевой,сетевого,mid_sentence_cap,https://social.hse.ru
экономико-социологический,экономико-социологических,mid_sentence_cap,https://social.hse.ru
научно-учебный,Научно-учебная,mid_sentence_cap,https://social.hse.ru
интерфейс,интерфейсов,mid_sentence_cap,https://social.hse.ru
политико-психологический,политико-психологических,mid_sentence_cap,https://social.hse.ru
салютогенный,салютогенной,pymorphy3:Name,https://social.hse.ru
свой,своих,mid_sentence_cap,https://social.hse.ru
студенческий,Студенческий,mid_sentence_cap,https://social.hse.ru
отдел,Отдел,mid_sentence_cap,https://social.hse.ru
новый,Новая,mid_sentence_cap,https://social.hse.ru
академический,академических,mid_sentence_cap,https://social.hse.ru
видеостудия,Видеостудия,mid_sentence_cap,https://social.hse.ru
далее,далее,mid_sentence_cap,https://social.hse.ru
майский,Майские,mid_sentence_cap,https://social.hse.ru
май,мая,pymorphy3:Geox,https://social.hse.ru
из,из,pymorphy3:Name,https://social.hse.ru
больший,больших,mid_sentence_cap,https://social.hse.ru
также,также,mid_sentence_cap,https://social.hse.ru
ведущий,ведущих,mid_sentence_cap,https://social.hse.ru
узбекистан,Узбекистана,pymorphy3:Geox,https://social.hse.ru
это,Это,mid_sentence_cap,https://social.hse.ru
уже,уже,mid_sentence_cap,https://social.hse.ru
лицейский,Лицейские,mid_sentence_cap,https://social.hse.ru
посещение,посещение,mid_sentence_cap,https://social.hse.ru
москва,Москве,pymorphy3:Geox,https://social.hse.ru
университетский,Университетская,mid_sentence_cap,https://social.hse.ru
