слово,происхождение
абажур,заимствованное
абазия,заимствованное
абак,заимствованное
абака,заимствованное
абандо,русское
абандон,заимствованное
аббат,заимствованное
аббатиса,заимствованное
аббатство,заимствованное
аббревиатура,заимствованное
аббревиатурный,заимствованное
аббревиация,заимствованное
абдомен,заимствованное
абдоминальный,заимствованное
абдуктор,заимствованное
абдукторный,заимствованное
абдукционный,заимствованное
абдукция,заимствованное
аберрационный,заимствованное
аберрация,заимствованное
абзац,заимствованное
абзацный,заимствованное
абилитационный,заимствованное
абилитация,заимствованное
абиогенез,заимствованное
абиогенный,заимствованное
абиотик,заимствованное
абиотическия,заимствованное
абиссаль,заимствованное
абиссальный,заимствованное
абитуриент,заимствованное
абитуриентския,заимствованное
аблатив,заимствованное
аблаут,заимствованное
абляционный,заимствованное
абляция,заимствованное
абоалкогольный,русское
абонемент,заимствованное
абонементный,заимствованное
абонент,заимствованное
абонентный,заимствованное
абонентския,заимствованное
абонирование,заимствованное
абонировать,заимствованное
абоокрашенный,русское
аборазвитый,русское
аборальный,заимствованное
абориген,заимствованное
аборигенный,заимствованное
аборигенския,заимствованное
аборт,заимствованное
абортивность,заимствованное
абортивный,заимствованное
абортировать,заимствованное
абощелочноить,русское
абразив,заимствованное
абразивный,заимствованное
абразионный,заимствованное
абразия,заимствованное
абракадабра,заимствованное
абреже,заимствованное
абрикос,заимствованное
абрикосный,заимствованное
абрикосовыя,заимствованное
абрис,заимствованное
абрисный,заимствованное
абсент,заимствованное
абсентеизм,заимствованное
абсентеист,заимствованное
абсентеистския,заимствованное
абсец,заимствованное
абсолют,заимствованное
абсолютизация,русское
абсолютизировать,заимствованное
абсолютизм,заимствованное
абсолютист,русское
абсолютный,заимствованное
абсолюция,заимствованное
абсорбент,заимствованное
абсорбировать,заимствованное
абсорбционный,заимствованное
абсорбция,заимствованное
абстинент,заимствованное
абстинентный,заимствованное
абстиненция,заимствованное
абстр,русское
абстрагирование,заимствованное
абстрагировать,заимствованное
абстрагироваться,заимствованное
абстрактный,заимствованное
абстракциони,заимствованное
абстракционизм,заимствованное
абстракционист,заимствованное
абстракционистския,заимствованное
абстракция,заимствованное
абсурд,заимствованное
абсурдизм,заимствованное
абсурдист,заимствованное
абсурдистския,заимствованное
абсурдный,заимствованное
абсцесс,русское
абсцисса,заимствованное
абулия,заимствованное
авалист,русское
аваль,заимствованное
авальный,заимствованное
авангард,заимствованное
авангардизм,заимствованное
авангардист,заимствованное
авангардистския,заимствованное
авангардный,заимствованное
аванзал,заимствованное
аванс,заимствованное
авансирование,заимствованное
